com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.00653376,0.0200983,-0.000635581,-0.0302169,98.6879,-103.728,16.81,-19.2501,269.146,94.7151,-317.393,109.307,-112.892,54.4111,-17.3492,-30.0,7.73444,1.51598,-321.291,57.9106,402.714,-159.172,-77.2652,-56.9132,-17.5384,30.0,-20.9696,8.50032,98.6879,98.6879,98.6879,98.6879,1.84105,5.26151,-12.1797,1.48373,-92.709,-2.26101,-7.98427,-27.5392,-15.9777,3.71277,-0.530797,-3.51333
-0.00828838,0.0187195,-0.000579233,-0.0301121,100.064,-105.656,15.124,-19.6361,351.243,73.4338,-420.516,156.44,-82.6843,65.9874,-17.396,-30.0,24.0,4.32644,-324.318,74.8175,416.283,-172.267,-86.541,-60.3216,-14.7033,30.0,-24.0,6.81223,100.064,100.064,100.064,100.064,2.17051,4.879,-13.6775,0.366651,-16.406,-2.7897,-74.1652,-1.88902,-3.43457,-8.31961,-12.7739,-0.692108
-0.00953393,0.0176966,-0.000642465,-0.0300327,95.9334,-104.513,13.176,-18.0987,189.422,52.5794,-294.261,115.301,-65.3409,14.5385,-14.899,-30.0,-4.18067,1.2767,-353.288,52.2694,453.146,-191.087,-67.6371,-65.5908,-11.5523,30.0,-24.0,4.99288,95.9334,95.9334,95.9334,95.9334,-0.384974,4.12465,-11.2751,2.61786,-13.3276,-2.04589,-76.4039,-1.08093,-1.13278,3.28,-13.2098,0.606975
-0.0106296,0.0167204,-0.000485052,-0.0299555,67.3632,-70.8387,4.03071,-9.78345,154.678,26.0865,-322.401,167.861,-50.1287,-18.8161,-11.7364,-30.0,24.0,-2.93437,-346.579,23.0881,507.524,-236.638,-48.739,-64.105,-7.85732,30.0,-24.0,1.95935,67.3632,67.3632,67.3632,67.3632,-6.78746,3.76751,-8.8953,3.35346,-11.8185,2.67318,-77.0334,-1.31447,-2.07931,2.47144,-12.5743,0.254092
-0.0115635,0.0158867,-4.32685e-05,-0.0297562,91.6375,-100.286,7.70369,-13.6951,330.195,5.01172,-381.683,117.064,-38.4337,50.1691,-7.01348,-30.0,24.0,-5.34347,-367.851,-0.204702,520.689,-242.46,-33.3964,-61.7497,-3.37375,30.0,-24.0,1.00032,91.6375,91.6375,91.6375,91.6375,-5.5403,4.27125,-11.893,1.02527,-17.3009,12.0973,-72.8871,-0.576567,-3.41929,1.12186,-10.356,-1.78931
-0.0124449,0.0151102,0.000621675,-0.029424,87.581,-100.657,12.9561,-17.6361,181.486,-9.94571,-277.671,116.719,-29.5169,24.875,-3.40084,-30.0,24.0,-5.91957,-406.353,-15.0707,574.87,-270.007,-23.4164,-59.2103,-0.0985582,30.0,-24.0,0.734309,87.581,87.581,87.581,87.581,-6.21417,3.43368,-10.4368,2.10949,-7.61932,20.6297,-74.6964,4.52607,-1.44924,-1.00089,-11.9322,-0.573064
-0.0132539,0.0142937,0.00124613,-0.0289671,79.5806,-93.0694,10.8757,-14.3843,-44.4456,-17.3492,42.2861,-6.07677,-23.3198,5.82806,-1.36537,-10.1736,15.7733,-5.95604,-424.162,-20.5525,562.87,-241.356,-17.5668,-57.0991,2.39017,30.0,-24.0,-1.64922,79.5806,79.5806,79.5806,79.5806,-10.4892,2.56614,-7.00106,2.71431,-2.89731,26.7576,-75.3803,2.79141,-3.20536,-2.11599,-13.1723,-0.315417
-0.0139325,0.0136246,0.00178523,-0.0284286,-4.26044,-13.5132,1.87294,-4.53197,246.257,-14.5416,-203.805,38.8765,-23.9206,57.2509,-0.746947,-30.0,24.0,-2.99607,-436.258,-21.6308,577.311,-242.148,-14.3065,-55.9916,2.25194,30.0,-24.0,-3.83479,-4.26044,-4.26044,-4.26044,-4.26044,-19.0559,1.86992,-1.55437,2.71424,17.9621,14.3825,74.9209,2.8861,0.216344,-5.0364,13.0792,-0.353852
-0.0145141,0.0130806,0.00216783,-0.0278689,76.4783,-90.9289,17.4295,-19.1508,209.068,-13.8896,-164.842,44.3868,-35.2324,48.7269,-0.53871,-30.0,24.0,-3.83638,-150.209,-18.9991,124.659,-12.849,-24.3207,-45.5325,0.909334,30.0,5.64627,-3.56101,76.4783,76.4783,76.4783,76.4783,-3.38203,3.04945,-10.9254,-1.12785,-74.82,32.3263,-6.68006,-22.4496,-18.5224,-3.19614,-1.51869,-4.0446
-0.0151563,0.0126193,0.00224734,-0.0273989,-11.0076,-8.45566,3.22322,-2.91258,-370.565,-10.3416,686.266,-322.097,-32.7839,-7.37669,0.749682,30.0,-14.826,-2.34408,-368.506,-17.7862,573.426,-254.16,-19.2818,-32.332,-1.02894,30.0,-1.34631,-3.26655,-11.0076,-11.0076,-11.0076,-11.0076,-19.0891,1.80104,-0.282346,2.04158,-2.99979,30.2989,-73.8772,4.42196,-2.67317,-3.0425,-13.2509,-0.615728
-0.0159552,0.0120118,0.00256496,-0.0269572,30.7495,-49.7333,14.2537,-12.2543,-242.519,-0.939012,621.38,-309.972,-36.9449,55.0007,0.585838,8.68767,17.0034,-2.56906,-386.382,-7.58431,580.036,-255.306,-25.1222,-39.385,-3.52943,30.0,-14.4624,-5.65199,30.7495,30.7495,30.7495,30.7495,-11.214,2.88323,-6.35241,0.723268,-81.5929,27.1717,-4.74973,-21.6915,-17.3726,-2.25937,-1.27249,-4.17286
-0.0166557,0.0114162,0.00238293,-0.0266899,-14.2867,-2.33736,6.08647,-3.81673,-416.706,-1.87988,686.561,-265.073,-38.6275,-27.2855,-0.724878,30.0,1.24903,1.81564,-161.564,-7.64982,174.692,-30.0995,-29.531,-39.1052,-5.13708,30.0,2.97729,-4.68547,-14.2867,-14.2867,-14.2867,-14.2867,-15.8743,1.47103,0.974329,2.1125,-11.7703,22.615,-62.398,-5.45969,-7.34526,-1.65342,-9.83629,-1.34328
-0.0174865,0.010815,0.00205057,-0.0266748,70.5226,-78.7058,19.0265,-15.6346,48.0827,1.87493,-17.4387,39.6498,-39.8114,13.0912,-1.08849,-13.3319,8.67085,4.64367,-103.126,-7.6305,68.4746,28.9703,-29.7626,-38.4873,-5.51441,20.4349,5.85226,-3.23007,70.5226,70.5226,70.5226,70.5226,-4.00242,2.2334,-5.80762,0.313628,-84.8497,21.1932,-3.48118,-21.3762,-16.2836,-1.09818,-1.41518,-4.24161
