com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0065492,-0.0176301,0.0015125,-0.00121707,-4.50445,13.0694,-1.38477,2.43896,-341.415,142.299,254.557,-28.342,-135.033,-78.5039,-20.9165,30.0,-24.0,-9.95103,348.102,11.1624,-430.41,158.206,-42.5657,63.0668,-12.3494,-30.0,24.0,9.48251,-4.50445,-4.50445,-4.50445,-4.50445,0.159064,3.80653,-12.9353,0.698459,80.1409,-25.8233,6.29452,24.6371,16.0671,0.028474,-1.89306,-0.0701631
-0.00821925,-0.0187138,0.00198623,-0.000948247,-0.322674,8.97181,-0.538843,1.6601,-343.657,131.211,266.566,-26.138,-125.095,-82.2454,-24.4724,30.0,1.63086,-4.43811,342.015,5.46907,-438.681,167.903,-33.8518,62.8428,-10.4596,-30.0,24.0,9.34088,-0.322674,-0.322674,-0.322674,-0.322674,16.8574,0.436745,0.0852258,-5.11347,88.671,-26.5287,-1.88295,24.3656,16.4872,-0.178896,-3.02404,2.32779
-0.00961676,-0.0199517,0.00204165,-0.000646918,-1.64172,10.1557,-0.124624,1.70051,-315.996,107.293,354.715,-121.022,-107.364,-53.8001,-23.5097,30.0,-14.2711,-4.15396,339.123,-0.401573,-437.261,169.42,-28.2305,60.7717,-9.22099,-30.0,24.0,7.21265,-1.64172,-1.64172,-1.64172,-1.64172,19.1421,-2.5442,-0.0943489,-4.00092,82.0019,-19.5744,-2.97199,16.495,10.8763,-0.0282484,-2.39526,0.550302
-0.0108425,-0.0209474,0.00215949,-0.00058173,7.02646,-20.0775,1.70943,-3.29923,212.757,74.9792,-184.298,68.2101,-87.4684,84.0,-15.997,-30.0,24.0,-9.37452,-334.149,-4.37374,373.157,-125.456,-30.9039,-64.7992,-7.50668,30.0,-24.0,3.64056,7.02646,7.02646,7.02646,7.02646,20.5302,-10.2587,-0.107728,-3.02035,-46.2972,8.70463,-28.3527,-28.8154,-21.1468,-0.826527,0.288269,-4.01322
-0.0119452,-0.0218372,0.00204251,-0.000594054,84.9747,-102.862,16.8043,-17.0,-274.107,33.4049,616.44,-317.64,-61.5921,41.3409,-8.63548,30.0,-1.80226,-10.85,-340.747,-8.8316,432.785,-160.676,-30.8074,-55.4344,-4.38426,30.0,-14.1917,2.32737,84.9747,84.9747,84.9747,84.9747,-9.73498,-19.2776,0.419293,6.66459,-15.3882,22.0765,-50.8316,-12.0041,-13.9106,-1.19378,-3.78187,-8.06012
-0.0130319,-0.022692,0.00187531,-0.000744654,89.4745,-105.283,15.5825,-15.1919,-99.208,6.33432,305.569,-134.105,-43.8209,84.0,-2.46056,-30.0,24.0,-10.5946,-345.388,-12.8193,444.361,-160.304,-28.3134,-53.7934,-1.65253,30.0,-12.5573,2.25454,89.4745,89.4745,89.4745,89.4745,6.82457,-22.0848,-13.2993,2.89636,-13.9221,37.3403,-47.3622,-14.9913,-18.3988,-3.4576,0.216947,-9.29665
-0.0140409,-0.0235294,0.00172528,-0.000907491,5.35381,-19.8389,2.43987,-1.96195,-175.672,-8.0319,364.888,-161.22,-35.7226,9.87945,-1.09494,16.6423,8.29297,-4.03224,-363.073,-15.7101,461.058,-155.996,-23.9913,-55.0475,-0.210087,30.0,-8.10321,2.38062,5.35381,5.35381,5.35381,5.35381,6.10875,-25.3666,-13.133,2.91225,-22.8868,44.7185,-35.9738,-13.8496,-18.347,-4.65941,0.638137,-9.37849
-0.0149463,-0.0243663,0.00147781,-0.00104193,80.4717,-96.0239,17.9278,-16.4953,-28.5945,-15.4949,212.128,-108.642,-27.4033,52.5273,1.74666,-30.0,24.0,-4.22073,-347.352,-12.8522,459.536,-159.843,-22.2351,-51.4092,0.189969,30.0,-4.82665,1.71583,80.4717,80.4717,80.4717,80.4717,-11.2261,-29.1002,0.190194,6.85288,38.123,27.7168,59.6701,9.27446,0.433836,-7.52608,11.0243,-0.68151
-0.015707,-0.0249723,0.000959065,-0.00116017,-25.1198,13.9221,0.849651,0.87969,-595.327,-33.312,975.589,-406.198,-10.8143,-2.08187,8.07201,30.0,-24.0,-7.76183,-127.271,-12.1965,133.367,-25.7157,-18.323,-41.8779,0.272652,22.1056,-6.71253,-2.69681,-25.1198,-25.1198,-25.1198,-25.1198,-0.0881018,0.319934,-13.5969,-0.471886,77.4824,42.4471,-8.50317,-0.747845,-7.77293,-3.89016,-10.2462,-7.90039
-0.0162196,-0.0255363,0.000428646,-0.00137313,46.7383,-49.7335,8.51048,-7.99567,-113.271,-21.8202,429.6,-215.198,-17.1166,84.0,0.12215,-30.0,3.35029,-6.12121,-265.62,-14.5405,308.88,-86.4813,-19.6874,-54.7222,-2.12128,12.4756,5.09259,-2.54494,46.7383,46.7383,46.7383,46.7383,-12.8997,-27.9175,-0.491994,5.8007,61.4967,33.5489,47.144,6.76931,-3.08018,-6.85108,14.477,-6.12485
