com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.00829043,-0.0368701,-0.00357684,0.0161757,93.0235,-105.952,17.7971,-18.8688,294.457,-28.1603,-353.601,131.67,-9.62297,54.5035,-0.764551,-30.0,24.0,8.76231,-326.576,-4.96089,401.435,-152.498,-36.2932,-61.1712,-10.1224,30.0,-22.7792,10.8778,93.0235,93.0235,93.0235,93.0235,-2.72236,4.76817,-9.86395,2.68986,22.9521,-38.9388,58.8883,0.240933,6.80316,3.13282,9.27321,3.15557
-0.0103114,-0.0382603,-0.00347812,0.0162693,96.7375,-111.702,17.8413,-19.3039,308.978,-19.3367,-393.015,157.298,-5.5472,57.0921,-0.699748,-30.0,24.0,9.40902,-331.937,6.02466,426.071,-172.433,-33.9653,-60.9643,-7.98963,30.0,-24.0,12.185,96.7375,96.7375,96.7375,96.7375,2.4808,4.47595,-13.7125,0.239539,-1.04484,-29.599,78.0831,-6.45578,0.580457,1.65691,13.8537,-0.823299
-0.0117347,-0.0394951,-0.00350388,0.0163191,96.3848,-112.055,17.6358,-19.2074,304.072,-14.2655,-385.057,157.696,-2.66798,56.301,-0.590344,-30.0,24.0,6.09805,-338.227,-3.10328,450.709,-188.129,-19.1397,-63.0297,-3.95021,30.0,-24.0,8.74872,96.3848,96.3848,96.3848,96.3848,0.210411,4.21813,-13.3681,0.76323,11.9822,-20.1825,76.4893,-2.16608,1.98595,-0.0298119,14.2224,0.333022
-0.0126746,-0.0404748,-0.00336557,0.016396,94.5742,-108.539,14.0304,-15.3863,256.559,-13.6215,-358.006,154.425,-8.57598,42.651,-1.94162,-30.0,23.424,1.97445,-348.668,-7.3219,484.751,-210.109,-20.2709,-60.9085,-2.94167,30.0,-21.982,4.17186,94.5742,94.5742,94.5742,94.5742,-6.01623,3.76013,-9.29166,3.10703,42.4203,-9.7278,55.0615,10.9163,8.27033,-2.91132,6.91859,4.422
-0.0134226,-0.0412764,-0.00314974,0.0164694,90.9654,-102.179,14.662,-16.8484,299.605,-14.9386,-371.695,138.876,-14.595,48.1567,-0.81982,-30.0,24.0,1.15043,-359.757,-14.1667,500.904,-214.447,-21.3757,-59.4624,-0.425495,30.0,-18.9878,2.45175,90.9654,90.9654,90.9654,90.9654,-5.37166,4.43717,-11.7031,1.43592,41.115,7.5399,66.5075,6.27211,2.53138,-5.76753,12.3123,2.80172
-0.0142188,-0.0418661,-0.0028562,0.0165493,88.7554,-100.292,13.9227,-16.5439,270.927,-13.6592,-330.459,119.455,-17.9184,48.223,0.588338,-30.0,24.0,2.29978,-304.678,-16.3875,375.195,-144.342,-21.1776,-56.6968,2.09752,18.872,-12.1846,2.74718,88.7554,88.7554,88.7554,88.7554,-6.72884,3.58845,-10.1341,2.21999,48.8259,19.4564,58.8788,13.5943,4.77904,-7.56471,10.05,2.408
-0.0150224,-0.0425525,-0.00255098,0.0167244,84.2838,97.8644,13.3976,-16.3396,254.332,-12.5471,-312.55,113.028,-18.0414,49.1534,1.64388,-30.0,24.0,3.14301,-262.865,-13.3551,280.822,-93.174,-22.2111,-54.264,3.22571,11.1661,-7.10993,2.83249,84.2838,84.2838,84.2838,84.2838,1.92029,1.84522,8.52085,-1.68553,-39.9991,51.336,-42.4689,-12.2832,-18.7412,-5.4916,0.381352,-10.0556
-0.0157518,-0.0432234,-0.00209055,0.0170169,80.2008,-90.7638,12.6297,-15.6935,234.529,-11.9992,-289.619,102.19,-17.8752,46.8084,2.06289,-30.0,24.0,3.08349,-236.443,-11.6573,219.291,-58.2185,-21.597,-53.2421,2.51365,6.37579,3.28877,1.99004,80.2008,80.2008,80.2008,80.2008,3.40014,2.13575,6.74662,-2.28255,67.2672,27.8287,46.9853,20.9789,7.55428,-8.80813,6.37587,2.29902
-0.0163926,-0.0438388,-0.00153788,0.0174494,-1.06237,-10.7177,-0.607042,-2.23538,-318.107,-14.5482,400.746,-150.979,-16.8289,-53.1025,2.05441,30.0,-9.4417,3.70948,-331.545,-12.3612,385.623,-136.449,-20.2464,-55.445,0.91285,21.6064,3.51518,0.685719,-1.06237,-1.06237,-1.06237,-1.06237,10.1772,3.05848,1.22868,-3.76652,97.3421,26.8832,24.9456,23.2189,8.67548,-8.46593,5.62373,2.53198
-0.017017,-0.0443877,-0.000793447,0.0180524,84.3123,-97.4853,15.5314,-17.6411,243.828,-13.4503,-340.979,169.302,-19.3768,48.8115,2.83008,-30.0,24.0,4.80028,-354.697,-12.198,464.718,-185.97,-20.6439,-53.4292,-0.82883,30.0,-6.41762,-0.109055,84.3123,84.3123,84.3123,84.3123,-3.13215,2.55043,-12.8824,-0.411812,39.2302,23.0017,63.9768,11.3043,2.17004,-7.16814,12.2029,-0.709399
-0.017703,-0.0448916,-0.000377044,0.0187503,-5.41309,-8.46926,1.70442,-3.24181,-316.551,-17.4608,402.909,-139.614,-17.1401,-53.2658,2.99022,30.0,-16.8881,6.50525,-378.825,-14.0555,488.204,-190.827,-20.9629,-58.6186,-2.63055,30.0,-10.4922,-1.0703,-5.41309,-5.41309,-5.41309,-5.41309,-17.75,0.67675,-0.850261,3.41914,99.3556,16.0908,18.6747,22.4103,9.79486,-6.62756,5.6901,2.82674
-0.0184618,-0.0453847,5.62466e-05,0.0194148,81.5397,-95.0562,19.5574,-20.1372,260.959,-15.6671,-324.618,158.341,-17.8311,57.5298,3.61386,-30.0,24.0,7.66946,-355.193,-10.5149,471.706,-189.326,-24.4923,-56.0938,-3.99428,30.0,-12.9722,-1.55496,81.5397,81.5397,81.5397,81.5397,-2.64222,2.67346,-13.0369,-0.103945,35.5306,10.9825,64.8077,9.05183,2.70765,-5.25632,12.0469,-0.0546594
-0.0192975,-0.0459089,0.000168482,0.0199389,-2.69158,-11.2456,3.88462,-4.38526,-306.858,-18.5384,414.835,-153.838,-13.9168,-49.3587,3.71304,30.0,-24.0,8.50099,-377.324,-11.7383,492.288,-194.365,-23.9058,-60.0348,-4.65341,30.0,-17.9421,-1.69222,-2.69158,-2.69158,-2.69158,-2.69158,-16.2169,0.927198,-2.08569,3.34602,79.5628,3.87547,33.0129,17.9367,9.28271,-4.8302,6.46016,3.25676
-0.0201696,-0.0464798,0.000351693,0.0202524,85.7513,-97.5975,20.3077,-19.9299,262.856,-14.9919,-329.239,163.276,-12.467,56.7855,4.30221,-30.0,24.0,8.49349,-353.634,-10.7052,481.758,-195.585,-22.6336,-58.0856,-4.58502,30.0,-19.1539,-0.628396,85.7513,85.7513,85.7513,85.7513,-2.48171,2.41005,-13.1105,0.0258647,35.6472,2.3832,65.1048,7.58221,3.40359,-3.88186,11.8951,0.926477
-0.0210268,-0.0471432,0.000254271,0.0203508,88.3981,-98.1959,18.9122,-18.3588,280.193,-13.9056,-343.354,155.087,-8.77203,50.5523,4.53096,-30.0,24.0,7.67014,-349.272,-13.1614,489.102,-201.513,-17.3371,-58.9539,-3.88333,30.0,-21.9968,0.543906,88.3981,88.3981,88.3981,88.3981,-3.40113,2.03053,-12.4709,0.700934,57.6293,-1.81164,49.8428,13.5778,8.21147,-3.6979,7.62589,3.84297
-0.0217817,-0.0476633,0.000195345,0.0202638,90.633,-99.3867,17.8013,-17.3182,280.912,-11.3585,-338.781,150.233,-5.81886,51.3464,4.31304,-30.0,20.6082,6.45018,-336.238,-13.5781,480.985,-202.445,-11.8291,-56.5852,-3.06778,30.0,-23.2763,1.65987,90.633,90.633,90.633,90.633,-2.44176,1.88535,-12.5848,0.505213,42.5104,-4.07851,58.6493,9.41264,6.40012,-3.13832,7.84928,4.04796
-0.0224075,-0.0482045,7.64846e-05,0.020056,89.992,-97.828,16.98,-16.6733,288.184,-9.93174,-340.464,150.123,-3.10573,50.2097,3.34702,-30.0,24.0,4.83994,-315.674,-10.4672,420.619,-153.596,-6.3642,-55.9823,-0.831192,30.0,-12.9939,2.36122,89.992,89.992,89.992,89.992,-2.44657,1.82787,-12.5049,0.235625,41.0679,-5.38682,57.5286,5.0724,4.09307,-2.6737,7.95229,4.16052
-0.0229441,-0.0485645,-4.61846e-05,0.0198864,4.65255,5.64131,6.23225,-4.16592,303.407,-9.33991,-354.197,153.936,-0.349131,51.4844,2.16335,-30.0,24.0,3.19006,201.78,-8.33867,-341.136,188.246,-4.12154,18.4892,-1.85704,-30.0,10.1335,2.52074,4.65255,4.65255,4.65255,4.65255,7.55571,1.66265,-4.44436,-1.70591,-39.045,5.52028,-13.8209,-20.8368,-12.7129,-0.592189,-3.72611,2.88379
-0.02334,-0.0487867,-0.000312162,0.019779,84.4953,-91.7068,15.6873,-15.9004,286.635,-8.85085,-342.409,147.016,1.27301,46.469,1.63518,-30.0,16.2699,2.16426,-315.558,-8.01968,425.371,-160.717,-3.32249,-51.0683,-1.00893,30.0,-24.0,1.44226,84.4953,84.4953,84.4953,84.4953,0.0961596,1.40483,-11.2896,0.625569,2.41188,-5.02956,36.3841,-2.48031,-0.477268,-1.66375,8.31706,3.63776
-0.0235805,-0.0489094,-0.000321817,0.0197467,82.8692,-88.5928,13.7473,-14.4954,252.57,-4.31376,-301.039,125.202,2.23334,42.2221,0.921152,-30.0,16.2421,1.33449,-308.556,-3.4037,398.027,-144.485,-2.43346,-50.7718,-0.812221,30.0,-24.0,1.41117,82.8692,82.8692,82.8692,82.8692,0.18449,0.399096,-9.11094,1.72585,40.8013,-10.7649,61.7246,3.90253,4.31702,-2.04257,8.76727,4.7473
-0.0237179,-0.0489843,-0.000229276,0.0198272,70.1863,-70.52,5.94474,-8.24439,132.732,-2.46138,-224.731,96.8845,4.20923,3.09789,-0.19704,-30.0,-5.51551,-0.134892,-287.574,-1.4405,356.06,-138.362,-0.0667779,-46.584,-1.08772,25.0465,-24.0,1.00958,70.1863,70.1863,70.1863,70.1863,-0.111336,-0.213,-5.40956,2.27518,38.3586,-13.6578,47.679,12.6492,10.0875,-1.30808,4.21558,4.81801
-0.0237531,-0.0490107,6.93506e-05,0.0200397,82.8743,-86.0303,13.6138,-16.6378,273.625,-0.379646,-333.106,124.854,4.81939,49.9943,-1.43632,-30.0,24.0,-1.62658,-306.626,-1.66845,391.039,-162.226,2.46071,-51.9503,-1.33421,28.2224,-24.0,0.0558576,82.8743,82.8743,82.8743,82.8743,0.603561,0.907959,-11.0325,0.19652,9.31561,-12.7887,53.6795,4.43131,4.85632,0.153938,7.85041,0.964554
-0.0237556,-0.0490064,0.000753802,0.020508,86.121,-90.9172,13.6252,-17.3794,281.542,0.551417,-356.261,137.574,4.91813,51.189,-1.88763,-30.0,19.0842,-2.39881,-304.36,-1.41212,394.754,-169.458,3.85076,-53.7337,-1.08522,27.3578,-24.0,-0.156318,86.121,86.121,86.121,86.121,1.18296,1.08155,-12.5533,0.106462,-9.74769,-15.4735,66.4185,-4.20602,0.193971,1.38331,10.1701,-1.18926
